1470
 84.9537 47.4664 8.12374
 84.9401 47.4339 8.09407
461 415 10
 72.9697 58.2046 9.47235
 73.095 60.1856 10.5131
 72.0143 61.9878 10.9684
 69.6833 64.1788 9.79022
 68.544 65.7993 9.54703
 68.1325 66.1577 11.3206
 67.0394 67.3091 13.3007
 66.0346 68.0952 14.5684
 65.7536 67.9814 14.8525
 65.751 67.9895 14.8512
462 415 7
 68.5177 65.7891 7.82748
 68.544 65.7993 9.54703
 68.1325 66.1577 11.3206
 67.0394 67.3091 13.3007
 66.0346 68.0952 14.5684
 65.7536 67.9814 14.8525
 65.751 67.9895 14.8512
462 327 3
 68.5177 65.7891 7.82748
 68.391 65.9116 6.88378
 68.3352 65.9291 6.88375
463 17 9
 71.1584 69.2541 39.1403
 70.7811 66.0858 40.3132
 71.9259 64.293 40.9118
 72.7606 62.6407 41.2372
 74.8708 60.1507 43.5258
 79.1881 58.48 46.4021
 81.3429 59.5156 45.0283
 81.4391 60.2593 43.1275
 81.7494 60.5141 43.2638
463 379 4
 71.1584 69.2541 39.1403
 70.3289 72.2832 37.3647
 68.6345 72.6004 36.3865
 68.6188 72.6437 36.3596
464 363 9
 78.496 91.0174 10.3429
 80.6052 91.3528 13.5595
 80.5949 92.2737 13.9043
 80.0244 94.9428 13.8648
 79.4964 97.3115 15.2968
 79.9354 97.8128 16.0218
 80.5023 97.6626 14.5726
 80.5858 97.5818 14.1176
 80.5777 97.5599 14.0973
464 122 3
 78.496 91.0174 10.3429
 76.5043 90.706 7.15377
 76.5531 90.7019 7.10425
465 178 13
 91.4903 90.5044 40.4135
 95.1546 93.2967 40.5756
 96.8065 95.2177 40.2469
