# x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,Metal,g_minus_r,u_minus_r
5.093326950073242188e+01,1.997454261779785156e+01,1.153929424285888672e+01,1.394032312320000000e+11,1.298210816000000000e+09,-1.720991134643554688e+01,-1.724608421325683594e+01,9.982320480048656464e-03,2.208766937255859375e-01,9.422054290771484375e-01
2.216928482055664062e+01,9.445526885986328125e+01,4.984043502807617188e+01,1.395025838080000000e+11,1.691064192000000000e+09,-1.605465316772460938e+01,-1.615939903259277344e+01,1.554577518254518509e-02,3.904743194580078125e-01,1.252151489257812500e+00
3.381725311279296875e+01,4.937152099609375000e+01,3.559275436401367188e+01,1.395440517120000000e+11,1.245706624000000000e+09,-1.567279911041259766e+01,-1.575503063201904297e+01,1.307549513876438141e-02,4.402923583984375000e-01,1.429153442382812500e+00
8.533599090576171875e+01,4.477835464477539062e+01,2.421615600585937500e+01,1.395524730880000000e+11,3.851494144000000000e+09,-1.612025642395019531e+01,-1.636788749694824219e+01,1.758017577230930328e-02,4.382343292236328125e-01,1.481483459472656250e+00
4.578915119171142578e+00,4.911962127685546875e+01,6.141575241088867188e+01,1.398958653440000000e+11,2.442905600000000000e+09,-1.697282028198242188e+01,-1.704444694519042969e+01,1.285982225090265274e-02,3.440132141113281250e-01,1.217239379882812500e+00
2.431430578231811523e+00,2.487665367126464844e+01,3.727390670776367188e+01,1.398976348160000000e+11,2.157649510400000000e+10,-1.725445365905761719e+01,-1.742780685424804688e+01,2.385952137410640717e-02,4.881839752197265625e-01,1.515178680419921875e+00
6.610752868652343750e+01,8.108245849609375000e+01,5.447357177734375000e+01,1.399035166720000000e+11,1.924978688000000000e+09,-1.587160873413085938e+01,-1.607806968688964844e+01,1.360607892274856567e-02,3.985958099365234375e-01,1.366426467895507812e+00
7.621445465087890625e+01,3.177161026000976562e+01,2.677005195617675781e+01,1.400591319040000000e+11,2.303155712000000000e+09,-1.625878906250000000e+01,-1.634857940673828125e+01,1.513321697711944580e-02,4.072837829589843750e-01,1.348129272460937500e+00
2.316984683275222778e-01,5.913043594360351562e+01,2.620509862899780273e-01,1.400709447680000000e+11,6.442802688000000000e+09,-1.822109031677246094e+01,-1.827771186828613281e+01,1.609989628195762634e-02,3.130283355712890625e-01,1.078392028808593750e+00
9.342396545410156250e+01,1.287950706481933594e+01,4.082541656494140625e+01,1.401295339520000000e+11,8.619866112000000000e+09,-1.735407257080078125e+01,-1.748391914367675781e+01,1.728642731904983521e-02,3.052139282226562500e-01,1.129659652709960938e+00
8.603656768798828125e+01,6.075079345703125000e+01,4.033809280395507812e+01,1.402454999040000000e+11,7.363856896000000000e+09,-1.513853740692138672e+01,-1.548550510406494141e+01,2.072831615805625916e-02,5.631675720214843750e-01,1.721515655517578125e+00
8.479926300048828125e+01,9.067209625244140625e+01,3.657556152343750000e+01,1.403305492480000000e+11,1.460838016000000000e+09,-1.634472656250000000e+01,-1.639302062988281250e+01,1.526922173798084259e-02,3.381423950195312500e-01,1.126552581787109375e+00
8.334525299072265625e+01,9.527281951904296875e+01,5.432353591918945312e+01,1.404475637760000000e+11,1.156491904000000000e+09,-1.519863319396972656e+01,-1.532567596435546875e+01,1.375799905508756638e-02,4.721012115478515625e-01,1.507757186889648438e+00
5.379397201538085938e+01,9.718305969238281250e+01,5.401671218872070312e+01,1.407261409280000000e+11,1.618028160000000000e+09,-1.576546192169189453e+01,-1.584226131439208984e+01,1.579063944518566132e-02,4.062118530273437500e-01,1.336004257202148438e+00
1.490167236328125000e+01,3.825753784179687500e+01,8.129569244384765625e+01,1.407579095040000000e+11,4.487680512000000000e+09,-1.590720081329345703e+01,-1.615566635131835938e+01,1.639683917164802551e-02,4.256477355957031250e-01,1.407577514648437500e+00
5.323443222045898438e+01,9.130621337890625000e+01,3.614355087280273438e+01,1.407897108480000000e+11,8.350295040000000000e+09,-1.665828895568847656e+01,-1.681168746948242188e+01,1.802196726202964783e-02,5.073509216308593750e-01,1.559408187866210938e+00
7.747441864013671875e+01,4.078920364379882812e+01,6.378380298614501953e+00,1.408729251840000000e+11,8.347073024000000000e+09,-1.538778114318847656e+01,-1.577726173400878906e+01,1.999504305422306061e-02,4.696483612060546875e-01,1.490861892700195312e+00
3.843214035034179688e+01,8.052370452880859375e+01,4.915969848632812500e+01,1.408883261440000000e+11,1.076583296000000000e+09,-1.601561355590820312e+01,-1.609065437316894531e+01,1.494061294943094254e-02,3.592052459716796875e-01,1.215372085571289062e+00
8.246846008300781250e+01,9.311708450317382812e+00,9.735077667236328125e+01,1.411042181120000000e+11,9.663760384000000000e+09,-1.570916461944580078e+01,-1.603975486755371094e+01,1.673972792923450470e-02,5.221672058105468750e-01,1.618032455444335938e+00
6.165469741821289062e+01,1.794056510925292969e+01,5.838747024536132812e+01,1.411950510080000000e+11,2.569107712000000000e+09,-1.634425926208496094e+01,-1.644820594787597656e+01,1.424914505332708359e-02,3.993186950683593750e-01,1.340055465698242188e+00
