#x,y,z,Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
36.663067,83.259346,7.037125,47380131840.000000,1062916352.000000,-16.845778,-16.849195,-18.434156,0.297005,1.039139
71.506950,42.802994,34.749706,47554211840.000000,8418640896.000000,-15.702134,-15.947894,-19.564034,0.541538,1.631151
57.198349,95.072762,28.030512,47719030784.000000,3490693376.000000,-16.591459,-16.729692,-19.111042,0.470598,1.562883
8.873452,37.951710,93.203064,47892803584.000000,1635282688.000000,-16.612934,-16.684343,-18.636572,0.342739,1.233095
57.545403,33.160637,11.844109,48539787264.000000,1240746624.000000,-16.893917,-16.895605,-18.441296,0.255362,0.999975
38.545910,57.667675,96.546906,48544358400.000000,5236072960.000000,-16.997717,-17.101629,-19.624502,0.314209,1.099007
20.050926,80.505211,55.134842,48863711232.000000,3633790208.000000,-16.199078,-16.326830,-18.963528,0.465212,1.465307
21.968025,75.203705,24.118492,48879824896.000000,3402390784.000000,-16.458889,-16.558119,-19.033525,0.376827,1.248493
45.996624,56.627522,18.871958,49286426624.000000,6882150400.000000,-15.963593,-16.140545,-19.353615,0.539787,1.628162
92.380272,54.551041,97.113106,49829371904.000000,1222596864.000000,-15.829577,-15.928966,-18.205036,0.297161,1.011442
13.662414,95.388885,60.213219,49945759744.000000,2364440320.000000,-15.737460,-15.872208,-18.602871,0.414928,1.407654
55.693825,80.299316,33.011761,50268635136.000000,4108129536.000000,-17.207617,-17.266966,-19.390877,0.340130,1.130838
80.238586,27.790424,49.942329,50283802624.000000,1133292032.000000,-16.700052,-16.705257,-18.284601,0.324984,1.106922
56.619625,17.388344,56.925072,50301595648.000000,3674335232.000000,-17.581472,-17.633610,-19.619905,0.299616,1.131666
62.830845,82.420341,70.660500,50549211136.000000,1336134912.000000,-15.651980,-15.858170,-18.249224,0.352036,1.261890
9.145544,72.007851,82.444878,50607316992.000000,4034195456.000000,-17.011915,-17.082123,-19.439600,0.299765,1.085663
43.122406,47.328758,96.520622,50767450112.000000,1082384256.000000,-16.442221,-16.501892,-18.392221,0.321550,1.191057
70.491852,5.391786,91.001060,51131232256.000000,1631883392.000000,-16.084873,-16.188021,-18.434448,0.367695,1.286901
32.953960,85.600388,79.556236,51166281728.000000,1616235264.000000,-15.505577,-15.702978,-18.395983,0.420372,1.404825
57.680126,87.328583,54.753883,51332259840.000000,9012448256.000000,-17.540010,-17.694244,-20.250969,0.287096,1.044075
42.299294,81.808220,57.746887,51353800704.000000,1112884096.000000,-16.248140,-16.325699,-18.125204,0.331572,1.152411
40.821453,54.240822,2.802837,52714905600.000000,2581889024.000000,-15.806909,-15.970119,-18.574448,0.437180,1.405010
63.928448,19.611309,72.186958,52717682688.000000,7031278592.000000,-17.084291,-17.195133,-19.736179,0.342779,1.160820
50.772263,78.895569,9.863267,53352656896.000000,2459329024.000000,-16.798914,-16.837461,-18.756100,0.360188,1.189377
94.575493,8.829728,40.611786,53523730432.000000,3143836672.000000,-16.923546,-16.943336,-18.942961,0.227259,0.830967
68.966637,48.594131,54.245304,53652168704.000000,4221403392.000000,-16.329798,-16.363636,-18.879976,0.499748,1.510628
13.500807,95.323990,60.305454,54223110144.000000,1693150208.000000,-15.854285,-15.902764,-18.184853,0.402136,1.292772
55.720882,88.412292,48.487286,54736109568.000000,2561483776.000000,-17.257029,-17.347256,-19.221943,0.316717,1.203266
75.506630,41.858959,13.769199,54809550848.000000,1037343872.000000,-15.396145,-15.504939,-17.823133,0.319733,1.104067
21.825399,26.819269,45.846096,54876438528.000000,7730221056.000000,-17.056610,-17.179663,-19.773329,0.371218,1.261251
84.299828,16.088612,64.688049,55018328064.000000,1174802688.000000,-15.721425,-15.835017,-18.052258,0.406662,1.373434
0.791213,77.962952,56.078182,55208341504.000000,3476262144.000000,-17.119614,-17.236361,-19.492264,0.295101,1.134689
73.114990,71.792160,34.020912,55720886272.000000,2077489920.000000,-15.070849,-15.331185,-18.489639,0.378952,1.244965
4.512051,46.100384,64.913536,56230035456.000000,2466428416.000000,-15.337770,-15.483024,-18.414349,0.504080,1.583530
60.724148,47.853653,80.521019,56784318464.000000,1735091840.000000,-16.780104,-16.807766,-18.648560,0.312365,1.104879
55.829105,43.315418,28.869518,56965799936.000000,1933876736.000000,-16.469009,-16.544453,-18.555336,0.359835,1.214699
61.320946,44.322887,96.572540,57104809984.000000,1664244736.000000,-16.607990,-16.631306,-18.500463,0.362629,1.225620
23.715031,26.634804,60.381454,57125015552.000000,2073450240.000000,-16.930092,-17.002071,-19.102654,0.239822,0.944860
73.215256,91.225090,4.500923,57439965184.000000,2941194496.000000,-15.852833,-16.041538,-19.001629,0.440062,1.488375
18.374424,78.593414,51.451908,57488400384.000000,1106356736.000000,-15.634232,-15.742985,-17.925032,0.370678,1.223446
19.349066,79.763374,47.781307,58076839936.000000,5482961920.000000,-16.144054,-16.316282,-19.408150,0.459351,1.520508
24.122038,73.086212,33.149158,58428358656.000000,1674582784.000000,-16.242067,-16.282482,-18.352325,0.320606,1.122690
21.538517,7.783601,71.999680,59028701184.000000,1648489216.000000,-15.878140,-16.064512,-18.467484,0.371630,1.344240
19.439260,77.066208,45.954792,60222414848.000000,16848142336.000000,-17.099230,-17.235888,-20.195650,0.405725,1.298754
69.891617,11.082590,62.516300,60331950080.000000,3101929728.000000,-16.179640,-16.434055,-19.110155,0.385223,1.335987
57.772449,82.267830,72.198982,61247660032.000000,1037850432.000000,-16.523478,-16.557154,-18.159893,0.312716,1.071146
94.532562,98.310516,21.421246,61333876736.000000,8333006848.000000,-18.070799,-18.157927,-20.212044,0.303099,1.104889
9.571152,73.159782,81.388901,61566156800.000000,1124571904.000000,-15.890580,-15.977817,-18.108978,0.414755,1.355204
55.370186,84.553993,55.815720,61694652416.000000,5289671168.000000,-16.543308,-16.671553,-19.431437,0.437891,1.405350
86.841209,34.790512,75.928627,62023409664.000000,1211657216.000000,-15.876354,-16.033930,-18.231352,0.347097,1.244976
38.572594,96.087502,62.204056,62369390592.000000,3656306944.000000,-17.289660,-17.426416,-19.668892,0.252956,1.077429
84.509201,47.038784,15.212914,63274987520.000000,1821069824.000000,-15.417412,-15.642035,-18.570114,0.370546,1.236198
80.224304,97.584084,46.245033,63458729984.000000,5036197888.000000,-17.084909,-17.201626,-19.568043,0.341377,1.203665
52.913700,0.400856,17.615376,63883173888.000000,4362544640.000000,-15.664874,-15.817588,-19.026031,0.554596,1.743931
84.473930,50.050808,19.867535,64209723392.000000,3510606592.000000,-17.061361,-17.059263,-19.023945,0.354404,1.155893
51.845894,60.368774,51.528004,64265560064.000000,3010618112.000000,-15.524050,-15.656308,-18.736214,0.437557,1.368155
72.336197,46.263504,36.223164,64473591808.000000,3104142336.000000,-16.119349,-16.247036,-18.846163,0.474567,1.504543
94.953835,84.752701,42.582474,64721170432.000000,1043726336.000000,-15.941183,-16.009724,-18.030804,0.301527,1.045969
39.035072,74.943260,42.855930,65100390400.000000,1408245888.000000,-15.815622,-15.907290,-18.049129,0.422247,1.331373
4.488862,31.999104,44.272469,66170396672.000000,1691401472.000000,-16.394680,-16.431335,-18.451157,0.286404,1.041357
64.719017,48.908524,29.098471,66372435968.000000,5316339200.000000,-14.703365,-15.064691,-18.953661,0.486839,1.522751
8.615086,86.639847,53.758469,66681634816.000000,4672076800.000000,-15.889832,-16.015148,-19.092291,0.484415,1.525677
23.122835,27.091129,76.869377,66708623360.000000,1827798784.000000,-16.221893,-16.259792,-18.347570,0.449945,1.412113
32.291382,41.813004,99.128494,66761957376.000000,3017341696.000000,-16.252298,-16.317101,-18.750835,0.466667,1.490864
90.440674,7.759660,10.319977,66839171072.000000,1139619456.000000,-17.013971,-17.044559,-18.576664,0.216055,0.922789
67.831352,10.662560,26.537897,66901454848.000000,1098520192.000000,-16.578392,-16.633360,-18.377699,0.322147,1.143671
33.577702,86.942848,83.108795,67576647680.000000,1913719168.000000,-16.041563,-16.141493,-18.497286,0.429157,1.346609
