#x,y,z,d_per(Mpc),d_long(Mpc),length_fil(Mpc),Mass,SM,GALEX_FUV,GALEX_NUV,SDSS_r,g_minus_r,u_minus_r
53.258228,40.455299,94.844696,1.289854,228.661483,11.508708,483307126784.000000,10301841408.000000,-18.139982,-18.204382,-20.283573,0.369747,1.217876
48.829330,37.978306,97.038940,0.076541,96.332186,21.445881,582332252160.000000,7146708480.000000,-17.654364,-17.772675,-19.932301,0.353437,1.221020
53.820595,41.050774,94.945801,0.713181,228.192989,11.508708,815702867968.000000,14851654656.000000,-18.289278,-18.337217,-20.437317,0.415804,1.329361
53.502087,40.213203,96.253105,0.041114,185.441010,11.508708,1074292457472.000000,15361983488.000000,-17.796833,-17.912565,-20.406670,0.449169,1.434103
82.790939,29.542019,73.517746,0.052914,0.015118,17.151735,153366364160.000000,32217698304.000000,-17.151670,-17.389776,-20.899126,0.469894,1.450649
82.909760,28.963348,73.349121,0.570100,0.000000,17.151735,240017408000.000000,2510238976.000000,-16.596073,-16.712626,-18.874075,0.305737,1.105343
83.092224,29.315020,73.962631,0.226720,9.526728,24.158529,466833702912.000000,14328593408.000000,-16.790190,-16.955940,-19.969492,0.582548,1.736042
82.829338,29.502611,73.515678,0.000037,0.000029,17.151735,4373020672000.000000,70970638336.000000,-18.410967,-18.522684,-21.491947,0.472343,1.420485
73.075981,30.443985,27.630285,0.476402,92.294503,6.684279,131596525568.000000,3285434880.000000,-16.590086,-16.660755,-18.929285,0.449905,1.413677
73.270355,30.516249,27.468489,0.626095,92.307411,6.684279,326216744960.000000,5341784576.000000,-15.561464,-15.766062,-19.174576,0.513794,1.615810
95.628174,20.979000,45.630177,0.539192,100.483778,9.726510,484466950144.000000,10361927680.000000,-17.027023,-17.151848,-19.903936,0.349663,1.232498
41.402882,72.914619,24.258417,0.028239,17.187306,20.000413,58559926272.000000,7127762944.000000,-16.567099,-16.701155,-19.685801,0.466084,1.549273
41.623444,72.868340,24.002621,0.208369,0.169125,20.000413,101176721408.000000,3249782528.000000,-15.945745,-16.089033,-18.926121,0.422615,1.418610
42.116806,72.158524,23.725954,0.312510,35.129040,20.000413,189640753152.000000,4450438656.000000,-15.417427,-15.646963,-18.939875,0.468079,1.469593
41.451702,72.936180,24.240046,0.000047,0.000006,20.000413,1091635970048.000000,8470655488.000000,-17.878450,-17.949600,-19.978121,0.354565,1.207397
42.014809,71.932236,23.488060,0.115783,35.342017,20.000413,1414412107776.000000,30199592960.000000,-17.627058,-17.697121,-20.668283,0.616199,1.828474
30.199352,65.450134,10.273411,0.257365,0.009305,38.219512,105008398336.000000,7312779264.000000,-15.547237,-15.880288,-19.610094,0.410454,1.294765
37.954617,70.275414,12.509070,0.138718,168.348156,17.948226,106000162816.000000,1145722752.000000,-15.268166,-15.382029,-17.919754,0.380440,1.313231
30.401854,64.987572,9.980186,0.466721,0.000000,12.872889,142006321152.000000,5288104960.000000,-16.217604,-16.413486,-19.415131,0.440578,1.431604
37.531090,69.785080,12.187526,0.204700,141.774343,15.166465,158099406848.000000,15080459264.000000,-17.161142,-17.304796,-20.324287,0.404114,1.379204
