,Metal,SM,g_minus_r,u_minus_r,x,y,z
10063,0.0217109248042,19215120384.0,0.47004699707,1.4647064209,62.0644302368,33.6587486267,21.4769535065
10065,0.0193181559443,18060949504.0,0.565982818604,1.74790382385,83.0037994385,37.4374694824,8.16947364807
10089,0.0160463806242,7271437824.0,0.489135742188,1.52940559387,54.6285552979,78.0297470093,9.61914730072
10113,0.016193671152,7037347328.0,0.324674606323,1.12574195862,14.056845665,69.2697372437,21.6144161224
10122,0.0181818921119,6558945280.0,0.469511032104,1.4842376709,80.9410705566,70.7071609497,3.61414504051
10124,0.0189456995577,10682350592.0,0.407154083252,1.33629798889,70.777961731,62.6735229492,10.8092794418
10129,0.0187384765595,7327172096.0,0.430372238159,1.40566635132,18.0221366882,75.7224731445,23.8103904724
10131,0.0182738117874,8538919936.0,0.500066757202,1.54752540588,53.1290397644,20.2393169403,26.8868045807
10143,0.0187326353043,9911928832.0,0.393707275391,1.29650306702,32.1476325989,68.7202224731,21.2093982697
10157,0.0198411755264,9606678528.0,0.408306121826,1.31335258484,58.8144340515,33.492855072,22.064447403
10165,0.0176837611943,10454125568.0,0.414854049683,1.30645561218,83.80809021,40.6802139282,7.09211921692
10166,0.023733234033,32534315008.0,0.532554626465,1.58368110657,94.2833251953,47.0909576416,2.54081463814
10171,0.0186327304691,7959746048.0,0.504981994629,1.52536010742,66.0956039429,27.4095821381,23.9408245087
10182,0.0209945905954,11920339968.0,0.509525299072,1.5849647522,12.4144239426,48.3651885986,35.9404716492
10191,0.017521860078,4740627456.0,0.477853775024,1.49578475952,50.7264251709,99.9006271362,2.5329823494
10198,0.0140699697658,5592136192.0,0.338087081909,1.1971206665,69.9126281738,60.5448799133,4.21095848083
10207,0.0210167635232,19516174336.0,0.495714187622,1.58868789673,84.5345840454,46.424823761,8.01317214966
10227,0.0182203389704,7871284736.0,0.6399974823,1.98423194885,58.396736145,18.9024829865,26.2268257141
10231,0.0237857270986,49241985024.0,0.789325714111,2.45657157898,61.3135795593,33.2374763489,20.2552185059
10239,0.0166835933924,6601586688.0,0.398729324341,1.27471542358,81.1983947754,35.8891029358,10.7870035172
10252,0.0173374842852,6346704896.0,0.496892929077,1.53726768494,33.7858734131,10.7711143494,33.7712364197
10258,0.0186904575676,15975983104.0,0.40419960022,1.31165504456,47.7803535461,78.8753051758,10.0014429092
10266,0.0174851082265,23755091968.0,0.738027572632,2.32468795776,85.4153671265,46.320526123,9.29337501526
10278,0.0170595645905,5866289152.0,0.360277175903,1.23401260376,65.8184051514,67.9580612183,10.3961744308
10290,0.0181074235588,7321431552.0,0.418132781982,1.33474159241,52.8272628784,51.1106109619,15.105676651
10303,0.0172105617821,5000317440.0,0.685121536255,2.11960792542,66.1705856323,68.947479248,7.11879396439
10305,0.0148015599698,6302274560.0,0.709983825684,2.19858360291,61.8802909851,56.5190887451,11.0824384689
10306,0.0176208708435,6923645952.0,0.427419662476,1.37780952454,47.9307975769,81.7625732422,7.74794578552
10318,0.0186439361423,5951313920.0,0.503427505493,1.51637268066,77.7346343994,64.2896499634,5.15846443176
10327,0.0202045980841,6832732160.0,0.413263320923,1.31192016602,1.11898672581,24.8796730042,46.1050605774
10330,0.0218906011432,18697416704.0,0.713344573975,2.28038978577,84.6168365479,46.3015213013,8.49247264862
10336,0.0195908881724,11792147456.0,0.491359710693,1.51012229919,50.5802841187,17.6410999298,32.6607933044
10343,0.0167992189527,7645592576.0,0.551549911499,1.67254829407,7.06644535065,2.15292143822,53.3428268433
10352,0.0217834655195,12571284480.0,0.61180305481,1.81937980652,93.2839889526,58.7019424438,4.12236022949
10366,0.0206745173782,8567981568.0,0.470550537109,1.44679260254,83.7561798096,67.3858261108,2.88121747971
